region,partido,votos
Antofagasta, PARTIDO DE LA GENTE,31245
Antofagasta, PARTIDO POR LA DEMOCRACIA,9189
Antofagasta, PARTIDO RADICAL DE CHILE,13045
Antofagasta, PARTIDO REPUBLICANO DE CHILE,105770
Antofagasta, FEDERACION REGIONALISTA VERDE SOCIAL,17536
Antofagasta, PARTIDO COMUNISTA DE CHILE,13163
Antofagasta, REVOLUCION DEMOCRATICA,45721
Antofagasta, RENOVACION NACIONAL,24304
Antofagasta, UNION DEMOCRATA INDEPENDIENTE,17657
Arica y Parinacota, PARTIDO DE LA GENTE,8348
Arica y Parinacota, PARTIDO DEMOCRATA CRISTIANO,7761
Arica y Parinacota, PARTIDO POR LA DEMOCRACIA,11148
Arica y Parinacota, PARTIDO REPUBLICANO DE CHILE,38909
Arica y Parinacota, ACCIÓN HUMANISTA,3777
Arica y Parinacota, PARTIDO LIBERAL DE CHILE,10564
Arica y Parinacota, PARTIDO SOCIALISTA DE CHILE,11098
Arica y Parinacota, RENOVACION NACIONAL,6217
Arica y Parinacota, UNION DEMOCRATA INDEPENDIENTE,11098
Atacama, PARTIDO DE LA GENTE,12925
Atacama, PARTIDO DEMOCRATA CRISTIANO,2639
Atacama, PARTIDO POR LA DEMOCRACIA,2628
Atacama, PARTIDO RADICAL DE CHILE,3578
Atacama, PARTIDO REPUBLICANO DE CHILE,41294
Atacama, PARTIDO COMUNISTA DE CHILE,11891
Atacama, PARTIDO SOCIALISTA DE CHILE,24623
Atacama, REVOLUCION DEMOCRATICA,10297
Atacama, RENOVACION NACIONAL,10970
Atacama, UNION DEMOCRATA INDEPENDIENTE,15821
Aysén, PARTIDO DE LA GENTE,2115
Aysén, PARTIDO DEMOCRATA CRISTIANO,4727
Aysén, PARTIDO POR LA DEMOCRACIA,607
Aysén, PARTIDO RADICAL DE CHILE,1647
Aysén, PARTIDO REPUBLICANO DE CHILE,10698
Aysén, FEDERACION REGIONALISTA VERDE SOCIAL,3346
Aysén, PARTIDO COMUNISTA DE CHILE,2007
Aysén, PARTIDO SOCIALISTA DE CHILE,3108
Aysén, REVOLUCION DEMOCRATICA,3886
Aysén, RENOVACION NACIONAL,10598
Aysén, UNION DEMOCRATA INDEPENDIENTE,4884
